Date,Time,Name,Age,City,Salary,Department,Rating,Experience (Years),Gender,Marital Status,Phone Number,Email,Product Purchased,Quantity
2022-10-07,19:06:00,jgQHUUVN,37,Bangalore,60570.66,Marketing,2.8,0,Other,Divorced,+91-9637754788,yaeul@example.com,Headphones,2
2024-12-26,05:57:18,yDZozORNR,26,Chennai,27133.28,Marketing,4.5,28,Male,Single,+91-7788450261,jcyzwnwto@example.com,Tablet,5
2021-09-13,19:17:53,uheZRrnk,43,Chennai,70248.16,Marketing,4.4,13,Other,Married,+91-9789661223,byhogmmy@example.com,Laptop,4
2020-12-31,10:09:10,IzYtDFXS,54,Bangalore,94105.19,HR,2.0,6,Male,Widowed,+91-8289531943,mmgkdcyrw@example.com,Mobile,3
2021-09-02,21:27:21,ipQHOBJ,30,Hyderabad,90568.42,Marketing,4.0,23,Female,Married,+91-8310562153,drqsaksdwe@example.com,Mobile,3
2024-11-30,20:52:45,OaMFN,41,Hyderabad,32605.58,Finance,4.4,6,Male,Divorced,+91-7977703605,qhjql@example.com,Headphones,3
2023-12-28,11:04:17,FRFRdbzkl,43,Chennai,48040.14,Engineering,4.4,39,Other,Widowed,+91-7848395823,pvjntpawcb@example.com,Smartwatch,5
2024-10-15,00:39:19,miBUxIg,57,Chennai,88032.5,Finance,4.7,20,Male,Married,+91-7748187326,nxyoljqhxe@example.com,Smartwatch,2
2024-08-17,23:41:41,UoKqa,44,Mumbai,61674.39,Finance,4.6,4,Other,Divorced,+91-7526505535,xqkspbccfq@example.com,Mobile,5
2021-10-01,09:27:19,OWzdZkd,56,Hyderabad,84993.98,Finance,3.8,38,Other,Divorced,+91-7950736381,iuxmrcnq@example.com,Tablet,4
2023-06-21,17:23:26,xTGUTNIb,26,Delhi,25770.89,Marketing,4.6,24,Other,Divorced,+91-8127000943,fqzyovmcy@example.com,Headphones,2
2021-05-08,06:30:05,JvpzXfCHR,45,Mumbai,59672.47,Marketing,2.6,12,Other,Married,+91-8791514101,zlpvhujh@example.com,Tablet,5
